,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Mühərrikin gücü,Yanacaq növü,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Qiymət,K,r,e,d,i,t
4138,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4139,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4140,Bakı,Toyota,Highlander,2022,Offroader / SUV,Göy,2.5 L,249 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,52 900 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4141,Bakı,Jetour,X70 PLUS,2022,Offroader / SUV,Qırmızı,1.5 L,158 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,44 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4142,Bakı,Volkswagen,ID.4,2022,Offroader / SUV,Boz,0.0 L,204 a.g.,Elektro,0 km,Avtomat,Arxa,Bəli,78 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4143,Bakı,Mercedes,E 200,2021,Sedan,Ağ,2.0 L,184 a.g.,Hibrid,11 000 km,Avtomat,Arxa,Xeyr,62 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4144,Bakı,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,1.5 L,163 a.g.,Benzin,99 000 km,Avtomat,Ön,Xeyr,19 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4145,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Mavi,1.5 L,76 a.g.,Hibrid,244 620 km,Avtomat,Ön,Xeyr,12 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4146,Bakı,Kia,Rio,2020,Sedan,Qara,1.6 L,123 a.g.,Benzin,7 100 km,Avtomat,Ön,Xeyr,24 300 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4147,Bakı,Ravon,Nexia R3,2019,Sedan,Ağ,1.5 L,107 a.g.,Benzin,150 000 km,Mexaniki,Ön,Xeyr,12 994 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4148,Bakı,Volkswagen,Passat CC,2012,Kupe,Qara,1.8 L,160 a.g.,Benzin,187 000 km,Robotlaşdırılmış,Ön,Xeyr,12 740 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4149,Bakı,BMW,X5,2022,Offroader / SUV,Qara,3.0 L,340 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,116 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4150,Bakı,Lexus,LX 570,2016,Offroader / SUV,Ağ,5.7 L,383 a.g.,Benzin,165 000 km,Avtomat,Tam,Xeyr,97 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4151,Bakı,Porsche,Cayenne,2011,Offroader / SUV,Ağ,4.8 L,550 a.g.,Benzin,190 000 km,Avtomat,Tam,Xeyr,26 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4152,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Gümüşü,3.0 L,178 a.g.,Benzin,154 000 km,Avtomat,Tam,Xeyr,22 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4153,Bakı,Ford,Fusion,2014,Sedan,Qara,1.5 L,181 a.g.,Benzin,94 000 km,Avtomat,Ön,Xeyr,19 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4154,Bakı,Opel,Astra,2006,Universal,Yaş Asfalt,1.4 L,90 a.g.,Benzin,163 000 km,Mexaniki,Ön,Xeyr,12 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4155,Bakı,Mercedes,E 220,2006,Sedan,Qara,2.2 L,170 a.g.,Dizel,207 000 km,Avtomat,Arxa,Xeyr,24 300 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4156,Bakı,Nissan,Pathfinder,2008,Offroader / SUV,Yaş Asfalt,2.5 L,174 a.g.,Dizel,235 000 km,Avtomat,Tam,Xeyr,27 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4157,Bakı,Chevrolet,Cruze,2014,Sedan,Qızılı,1.4 L,141 a.g.,Benzin,239 000 km,Avtomat,Ön,Xeyr,14 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4158,Bakı,Hyundai,Sonata,2017,Sedan,Yaş Asfalt,2.4 L,181 a.g.,Benzin,139 300 km,Avtomat,Ön,Xeyr,35 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4159,Bakı,Land Rover,Range Rover,2011,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,95 142 km,Avtomat,Tam,Xeyr,35 300 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4160,Bakı,Kia,Sorento,2011,Offroader / SUV,Qara,2.0 L,184 a.g.,Dizel,70 000 km,Avtomat,Ön,Xeyr,26 300 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4161,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4162,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4163,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4164,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4165,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4166,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4167,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4168,Salyan,Renault,Symbol,2008,Sedan,Gümüşü,1.4 L,98 a.g.,Benzin,11 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4169,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Ağ,3.0 L,190 a.g.,Benzin,251 557 km,Avtomat,Tam,Xeyr,24 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4170,Bakı,Nissan,Sunny,2014,Sedan,Ağ,1.5 L,99 a.g.,Benzin,111 115 km,Avtomat,Ön,Xeyr,17 600 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4171,Goranboy,LADA (VAZ),2107,1990,Sedan,Ağ,1.5 L,65 a.g.,Benzin,455 646 km,Mexaniki,Tam,Xeyr,2 850 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4172,Bakı,Kia,Optima,2012,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,96 536 km,Avtomat,Ön,Xeyr,20 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4173,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,1.8 L,150 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,17 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4174,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4175,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4176,Bakı,Toyota,Avensis,2008,Universal,Göy,2.0 L,126 a.g.,Dizel,196 000 km,Mexaniki,Ön,Xeyr,17 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4177,Bakı,Mercedes,EQC 400 4MATIC,2021,Offroader / SUV,Qara,0.0 L,408 a.g.,Elektro,0 km,Avtomat,Tam,Bəli,129 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4178,Bakı,LADA (VAZ),Niva,2022,Offroader / SUV,Qəhvəyi,1.7 L,83 a.g.,Benzin,0 km,Mexaniki,Tam,Bəli,22 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4179,Bakı,LADA (VAZ),Vesta SW Cross,2021,Universal,Göy,1.6 L,106 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,29 600 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4180,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Gümüşü,1.5 L,76 a.g.,Hibrid,164 000 km,Avtomat,Ön,Xeyr,13 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4181,Bakı,Audi,A6,2000,Sedan,Göy,2.4 L,165 a.g.,Benzin,287 000 km,Avtomat,Ön,Xeyr,9 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4182,Bakı,Mitsubishi,Pajero Pinin,2000,Offroader / SUV,Ağ,1.6 L,118 a.g.,Benzin,280 000 km,Avtomat,Tam,Xeyr,9 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4183,Bakı,Opel,Astra,1998,Universal,Ağ,1.6 L,101 a.g.,Benzin,315 000 km,Mexaniki,Ön,Xeyr,8 300 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4184,Bakı,Mercedes,E 220,2009,Sedan,Boz,2.2 L,170 a.g.,Dizel,299 000 km,Avtomat,Arxa,Xeyr,24 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4185,Bakı,Mercedes,A 160,2004,Hetçbek / Liftbek,Ağ,1.6 L,102 a.g.,Benzin,185 000 km,Avtomat,Ön,Xeyr,6 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4186,Gəncə,Kia,Optima,2013,Sedan,Ağ,2.0 L,274 a.g.,Benzin,111 500 km,Avtomat,Ön,Xeyr,22 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4187,Bakı,Kia,Rio,2009,Hetçbek / Liftbek,Qara,1.4 L,97 a.g.,Benzin,185 000 km,Mexaniki,Ön,Xeyr,12 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4188,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Gümüşü,3.0 L,178 a.g.,Benzin,154 000 km,Avtomat,Tam,Xeyr,22 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4189,Bakı,Ford,Fusion,2014,Sedan,Qara,1.5 L,181 a.g.,Benzin,94 000 km,Avtomat,Ön,Xeyr,19 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4190,Bakı,Opel,Astra,2006,Universal,Yaş Asfalt,1.4 L,90 a.g.,Benzin,163 000 km,Mexaniki,Ön,Xeyr,12 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4191,Bakı,Mercedes,E 220,2006,Sedan,Qara,2.2 L,170 a.g.,Dizel,207 000 km,Avtomat,Arxa,Xeyr,24 300 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4192,Bakı,Nissan,Pathfinder,2008,Offroader / SUV,Yaş Asfalt,2.5 L,174 a.g.,Dizel,235 000 km,Avtomat,Tam,Xeyr,27 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4193,Bakı,Chevrolet,Cruze,2014,Sedan,Qızılı,1.4 L,141 a.g.,Benzin,239 000 km,Avtomat,Ön,Xeyr,14 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4194,Bakı,Hyundai,Sonata,2017,Sedan,Yaş Asfalt,2.4 L,181 a.g.,Benzin,139 300 km,Avtomat,Ön,Xeyr,35 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4195,Bakı,Land Rover,Range Rover,2011,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,95 142 km,Avtomat,Tam,Xeyr,35 300 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4196,Bakı,Kia,Sorento,2011,Offroader / SUV,Qara,2.0 L,184 a.g.,Dizel,70 000 km,Avtomat,Ön,Xeyr,26 300 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4197,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4198,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4199,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4200,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4201,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4202,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4203,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4204,Salyan,Renault,Symbol,2008,Sedan,Gümüşü,1.4 L,98 a.g.,Benzin,11 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4205,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Ağ,3.0 L,190 a.g.,Benzin,251 557 km,Avtomat,Tam,Xeyr,24 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4206,Bakı,Nissan,Sunny,2014,Sedan,Ağ,1.5 L,99 a.g.,Benzin,111 115 km,Avtomat,Ön,Xeyr,17 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4207,Goranboy,LADA (VAZ),2107,1990,Sedan,Ağ,1.5 L,65 a.g.,Benzin,455 646 km,Mexaniki,Tam,Xeyr,2 850 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4208,Bakı,Kia,Optima,2012,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,96 536 km,Avtomat,Ön,Xeyr,20 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4209,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,1.8 L,150 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,17 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4210,Bakı,Hyundai,Santa Fe,2007,Offroader / SUV,Gümüşü,2.0 L,150 a.g.,Dizel,81 300 km,Avtomat,Ön,Xeyr,18 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4211,Sumqayıt,Fiat,Doblo,2011,Minivan,Qəhvəyi,1.5 L,110 a.g.,Dizel,139 700 km,Mexaniki,Ön,Xeyr,13 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4212,Bakı,Lexus,GX 460,2022,Offroader / SUV,Qara,4.6 L,296 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,128 800 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4213,Bakı,Toyota,Avalon,2012,Sedan,Ağ,3.5 L,268 a.g.,Benzin,145 000 km,Avtomat,Ön,Xeyr,33 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4214,Bakı,Renault,Logan,2020,Sedan,Qara,1.6 L,113 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,16 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4215,Bakı,Land Rover,RR Sport,2017,Offroader / SUV,Qara,3.0 L,340 a.g.,Benzin,107 000 km,Avtomat,Tam,Xeyr,61 500 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4216,Bakı,Kia,Rio,2006,Hetçbek / Liftbek,Gümüşü,1.4 L,97 a.g.,Benzin,168 000 km,Mexaniki,Ön,Xeyr,10 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4217,Bakı,Land Rover,Defender,2022,Offroader / SUV,Yaşıl,2.0 L,404 a.g.,Plug-in Hibrid,2 500 km,Avtomat,Tam,Xeyr,114 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4218,Sumqayıt,Mercedes,ML 350,2006,Offroader / SUV,Gümüşü,3.5 L,272 a.g.,Benzin,297 200 km,Avtomat,Tam,Xeyr,19 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4219,Bakı,Toyota,Prado,2013,Offroader / SUV,Qara,2.7 L,169 a.g.,Benzin,159 000 km,Avtomat,Tam,Xeyr,31 555 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4220,Bakı,Mitsubishi,Pajero Pinin,2000,Offroader / SUV,Ağ,1.6 L,118 a.g.,Benzin,280 000 km,Avtomat,Tam,Xeyr,9 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4221,Bakı,LADA (VAZ),Niva,2015,Offroader / SUV,Mavi,1.7 L,80 a.g.,Benzin,57 000 km,Mexaniki,Tam,Xeyr,19 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4222,Bakı,Nissan,Tiida,2012,Hetçbek / Liftbek,Gümüşü,1.5 L,109 a.g.,Benzin,41 000 km,Avtomat,Ön,Xeyr,13 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4223,Bakı,Porsche,Cayenne,2011,Offroader / SUV,Ağ,4.8 L,550 a.g.,Benzin,190 000 km,Avtomat,Tam,Xeyr,26 500 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4224,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Gümüşü,3.0 L,178 a.g.,Benzin,154 000 km,Avtomat,Tam,Xeyr,22 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4225,Bakı,Ford,Fusion,2014,Sedan,Qara,1.5 L,181 a.g.,Benzin,94 000 km,Avtomat,Ön,Xeyr,19 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4226,Bakı,Opel,Astra,2006,Universal,Yaş Asfalt,1.4 L,90 a.g.,Benzin,163 000 km,Mexaniki,Ön,Xeyr,12 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4227,Bakı,Mercedes,E 220,2006,Sedan,Qara,2.2 L,170 a.g.,Dizel,207 000 km,Avtomat,Arxa,Xeyr,24 300 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4228,Bakı,Nissan,Pathfinder,2008,Offroader / SUV,Yaş Asfalt,2.5 L,174 a.g.,Dizel,235 000 km,Avtomat,Tam,Xeyr,27 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4229,Bakı,Chevrolet,Cruze,2014,Sedan,Qızılı,1.4 L,141 a.g.,Benzin,239 000 km,Avtomat,Ön,Xeyr,14 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4230,Bakı,Hyundai,Sonata,2017,Sedan,Yaş Asfalt,2.4 L,181 a.g.,Benzin,139 300 km,Avtomat,Ön,Xeyr,35 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4231,Bakı,Land Rover,Range Rover,2011,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,95 142 km,Avtomat,Tam,Xeyr,35 300 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4232,Bakı,Kia,Sorento,2011,Offroader / SUV,Qara,2.0 L,184 a.g.,Dizel,70 000 km,Avtomat,Ön,Xeyr,26 300 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4233,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4234,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4235,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4236,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4237,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4238,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
4239,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
